Specific surface area,Pore volume,Average pore,Dosage,Initial concentration,Temperature,Contact time,pH,Adsorption capacity,Substrate_Fe-Mn binary compound,Substrate_MnO2,Substrate_MnOx,Modified_Chemical modification,Modified_Composite modification,Modified_Magnetic properties,Modified_Nano modification,Modified_Others,Heavy metal ions_As3+,Heavy metal ions_As5+,Heavy metal ions_Cd2+,Heavy metal ions_Co2+,Heavy metal ions_Cr3+,Heavy metal ions_Cr6+,Heavy metal ions_Cu2+,Heavy metal ions_Fe2+,Heavy metal ions_Hg2+,Heavy metal ions_Mn2+,Heavy metal ions_Ni2+,Heavy metal ions_Pb2+,Heavy metal ions_Sb3+,Heavy metal ions_Sb5+ ,Heavy metal ions_Zn2+
523.5,0.44556,4.405,0.2,250,25,24,5,140.9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,0.315,8.1,0.5,250,25,0.5,6.2,370.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,0.182,8.8,0.5,250,25,0.5,6.2,357.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44.902,56.2245,5.9903,2,800,25,0.5,6.5,185,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44.902,56.2245,5.9903,2,800,25,0.5,6.5,160,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.326,0.01425,0.010285,2,800,25,0.5,6.5,175,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40.326,0.01425,0.010285,2,800,25,0.5,6.5,157,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79.31,0.07,3.38,0.1,24.13,25,48,4,352.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79.31,0.07,3.38,0.1,26.33,35,48,4,432.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79.31,0.07,3.38,0.1,31.03,45,48,4,473.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
149.04,0.15,8.11,0.2,100,25,24,6.8,137.15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149.04,0.15,8.11,0.2,100,25,24,6.8,155.35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0.3362,5.69,0.2,2,27,2.5,7,14.42,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,0.414,2.6,1,10,25,0.333,6,8.85,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,0.414,2.6,1,10,25,0.333,6,9.43,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0.211,1.71,2,3.05,28,6,6,0.025772,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0.211,1.71,2,2.85,28,6,6,0.026178,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0.318,13.3,0.5,30,42,2.5,5,41.6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70.9096,0.2398,12.8372,0.2,100,45,12,5,62.83,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70.9096,0.2398,12.8372,0.2,210,45,12,5,486.38,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
126,0.28,9.52,0.5,200,30,2,6,290.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
126,0.28,9.52,0.5,100,30,2,6,67.4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,0.257,11.1,0.5,300,62,2.5,2,186.9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.92,0.0045,1.667,8,40,30,2,2,8.4266,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.92,0.0045,1.667,8,40,30,3,6,5.3401,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.39,0.0491,8.41,1,5,30,2,6,7.24,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23.39,0.0491,8.41,1,5,30,2,6,7.79,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170.51,0.29,10,1.4,50,45,8.3,3,46.47,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170.51,0.29,10,1.4,50,45,8.3,3,37.84,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
420.12,0.16,1.727,3.3,500,20,8.3,6,18.43,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420.12,0.16,1.727,3.3,500,30,25,7,18.83,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79.29,0.44,3.29,0.2,20,25,24,3,173.71,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79.29,0.44,3.29,0.2,20,25,24,3,142.18,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5.61,0.0133,9.46,1,300,35,4,4,31.8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.61,0.0133,9.46,1,300,35,4,4,141.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
158.6,0.217,54.9,0.25,100,25,6,3,101,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0.47,7.1,0.2,37,25,22,6.9,64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0.59,5.62,0.2,7,25,24,7,22.05,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0.59,5.62,0.2,37,25,24,7,103.06,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0.59,5.62,0.2,39,25,24,7,53.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0.41,6.33,0.2,1,25,24,7,78.74,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0.41,6.33,0.2,1,25,24,7,55.56,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206.52,0.36,6.12,1,212.92,25,24,6,62.92,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.52,0.36,6.12,1,180.18,25,24,6,42.18,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206.52,0.36,6.12,1,241.19,25,24,6,177.19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
206.52,0.36,6.12,1,206.26,25,24,6,56.26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.61,133,9.46,1,200,35,24,7,141.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.61,0.0133,9.46,1,200,35,24,7,31.8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331.5,0.36,4.74,1,246.9,25,24,8,100.9,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
224,0.41,6.33,10,93.3,45,24,5,6.182,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
224,0.41,6.33,10,96.64,45,24,6,7.936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71.6,0.114,5.17,1,190,35,22,6,64.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71.6,0.114,5.17,1,190,35,22,6,101,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95.63,0.106,8.85,0.5,50,25,24,7,163.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95.63,0.106,8.85,0.5,50,25,24,7,259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95.63,0.106,8.85,0.5,120,25,24,7,407.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.28,0.0179,25.83,4,400,25,2,5,120.77,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.803,0.0205,9.7,1,200,25,24,5,95.23,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82.877,0.102,4.903,0.25,100,25,24,6,67.11,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82.877,0.102,4.903,0.25,100,25,24,6,35.59,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15.2264,0.0194,5.0928,2,800,30,24,2,118.03,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
165.204,0.142,0.82,1,50,25,24,1.5,21.25,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57.64,0.12,8.29,5,100,45,20,7,16.79,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82.896,0.043,2,0.5,93,25,72,4,46.4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82.896,0.043,2,0.5,137.5,25,72,4,80.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82.896,0.043,2,0.5,46.7,25,72,4,18.65,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
513.4,0.33,4.21,0.2,100,25,0.125,5,225,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
513.4,0.33,4.21,0.2,40,25,0.125,5,112,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150.82,0.136,3.6,0.5,101,25,12,6,32.47,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150.82,0.136,3.6,0.5,89,25,12,6,28.57,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128.9,0.15,6,0.14,1.5,25,0.5,5,8.66,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.62,0.202,16.92,1,600,35,8,6,222.36,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
333.19,0.16,1.95,10,150,25,6,5,30.18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
333.19,0.16,1.95,10,150,25,6,5,70.37,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
333.19,0.16,1.95,10,150,25,6,5,44.94,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84.9,0.074,11.32,1,100,25,24,6,104.17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.74,0.023,15.7,1,537,25,24,7,337,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111.84,0.19,3.64,0.3,190,35,24,5,200,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111.84,0.19,3.64,0.3,49,35,24,5,33.33,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111.84,0.19,3.64,0.3,49,35,24,5,30.3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7.123,0.0574,32.211,50,132,25,12,6,10.36,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
299.56,0.134,1.79,1,200,25,24,2,28.58,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.21,0.00202,2.14,5,20,25,24,6,0.99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.21,0.00202,2.14,5,100,25,24,3,6.27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10.1,0.0457,21,1,202.7,25,24,2,122.7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.74,0.017,12.001,10,0.05,25,48,4,0.0025,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9.92,0.0045,1.667,8,40,30,2,2,3.26,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
232.26,0.39,17.23,1,100,30,7.83,4,491.98,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165.204,0.142,0.82,1,15,25,24,1.5,21.25,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,0.257,11.1,0.5,50,62,2.5,2,186.9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10.1,0.0457,21,1,40,25,0.5,2,122.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,0.124,15,1,10,25,0.83,2,48.78,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.74,0.017,12.001,10,0.05,25,48,4,0.0025,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87.6,0.13,13.91,0.5,187.72,25,12,5,57.6016,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87.6,0.13,13.91,0.5,39.674,25,12,5,6.63197,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
275,0.576,2.6,0.5,10,25,2,5,78.74,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
